Dateiname,Frequency_Annotationen
Auch_ich_war_in_Arkadien_dates_Annotator1.json,0
Auch_ich_war_in_Arkadien_dates_Annotator2.json,0
Auch_ich_war_in_Arkadien_duration_Annotator5.json,0
Auch_ich_war_in_Arkadien_duration_Annotator6.json,0
Auch_ich_war_in_Arkadien_frequency_Annotator4.json,14
Auch_ich_war_in_Arkadien_frequency_Annotator5.json,24
Auch_ich_war_in_Arkadien_narrative_level_Annotator1.json,0
Auch_ich_war_in_Arkadien_narrative_level_Annotator3.json,0
Auch_ich_war_in_Arkadien_order_Annotator1.json,0
Auch_ich_war_in_Arkadien_order_Annotator2.json,0
Auch_ich_war_in_Arkadien_tenses_Annotator1.json,0
Auch_ich_war_in_Arkadien_tenses_Annotator2.json,0
Blumen_dates_Annotator2.json,0
Blumen_dates_Annotator3.json,0
Blumen_duration_Annotator6.json,0
Blumen_duration_Annotator7.json,0
Blumen_frequency_Annotator5.json,2
Blumen_frequency_Annotator8.json,2
Blumen_narrative_level_Annotator1.json,0
Blumen_narrative_level_Annotator3.json,0
Blumen_order_Annotator3.json,0
Blumen_order_Annotator7.json,0
Blumen_tenses_Annotator2.json,0
Blumen_tenses_Annotator3.json,0
Das_polierte_Männchen_dates_Annotator1.json,0
Das_polierte_Männchen_dates_Annotator10.json,0
Das_polierte_Männchen_dates_Annotator2.json,0
Das_polierte_Männchen_duration_Annotator11.json,0
Das_polierte_Männchen_duration_Annotator7.json,0
Das_polierte_Männchen_frequency_Annotator6.json,0
Das_polierte_Männchen_frequency_Annotator8.json,0
Das_polierte_Männchen_narrative_level_Annotator3.json,0
Das_polierte_Männchen_narrative_level_Annotator9.json,0
Das_polierte_Männchen_order_Annotator3.json,0
Das_polierte_Männchen_order_Annotator4.json,0
Das_polierte_Männchen_order_Annotator8.json,0
Das_polierte_Männchen_tenses_Annotator2.json,0
Das_polierte_Männchen_tenses_Annotator3.json,0
Der_Pokal_dates_Annotator1.json,0
Der_Pokal_duration_Annotator4.json,0
Der_Pokal_duration_Annotator6.json,0
Der_Pokal_frequency_Annotator11.json,65
Der_Pokal_frequency_Annotator4.json,69
Der_Pokal_narrative_level_Annotator1.json,0
Der_Pokal_narrative_level_Annotator9.json,0
Der_Pokal_order_Annotator1.json,0
Der_Pokal_order_Annotator8.json,0
Der_Pokal_tenses_Annotator1.json,0
Der_Pokal_tenses_Annotator9.json,0
Der_Tod_dates_Annotator1.json,0
Der_Tod_dates_Annotator10.json,0
Der_Tod_dates_Annotator2.json,0
Der_Tod_dates_Annotator3.json,0
Der_Tod_dates_Annotator9.json,0
Der_Tod_duration_Annotator11.json,0
Der_Tod_duration_Annotator5.json,0
Der_Tod_frequency_Annotator4.json,15
Der_Tod_frequency_Annotator6.json,13
Der_Tod_narrative_level_Annotator1.json,0
Der_Tod_narrative_level_Annotator3.json,0
Der_Tod_order_Annotator1.json,0
Der_Tod_order_Annotator8.json,0
Der_Tod_tenses_Annotator2.json,0
Der_Tod_tenses_Annotator9.json,0
Die_Kriegspfeife_dates_Annotator10.json,0
Die_Kriegspfeife_dates_Annotator2.json,0
Die_Kriegspfeife_duration_Annotator11.json,0
Die_Kriegspfeife_duration_Annotator7.json,0
Die_Kriegspfeife_frequency_Annotator4.json,39
Die_Kriegspfeife_frequency_Annotator6.json,39
Die_Kriegspfeife_narrative_level_Annotator1.json,0
Die_Kriegspfeife_narrative_level_Annotator9.json,0
Die_Kriegspfeife_order_Annotator1.json,0
Die_Kriegspfeife_order_Annotator3.json,0
Die_Kriegspfeife_tenses_Annotator1.json,0
Die_Kriegspfeife_tenses_Annotator2.json,0
Die_Liebe_ist_gerettet_dates_Annotator10.json,0
Die_Liebe_ist_gerettet_dates_Annotator3.json,0
Die_Liebe_ist_gerettet_duration_Annotator3.json,0
Die_Liebe_ist_gerettet_duration_Annotator8.json,0
Die_Liebe_ist_gerettet_frequency_Annotator5.json,0
Die_Liebe_ist_gerettet_frequency_Annotator8.json,0
Die_Liebe_ist_gerettet_narrative_level_Annotator1.json,0
Die_Liebe_ist_gerettet_narrative_level_Annotator3.json,0
Die_Liebe_ist_gerettet_order_Annotator3.json,0
Die_Liebe_ist_gerettet_order_Annotator4.json,0
Die_Liebe_ist_gerettet_tenses_Annotator1.json,0
Die_Liebe_ist_gerettet_tenses_Annotator3.json,0
Die_Mutter_eines_Schwulen_dates_Annotator10.json,0
Die_Mutter_eines_Schwulen_dates_Annotator9.json,0
Die_Mutter_eines_Schwulen_duration_Annotator5.json,0
Die_Mutter_eines_Schwulen_duration_Annotator7.json,0
Die_Mutter_eines_Schwulen_frequency_Annotator6.json,23
Die_Mutter_eines_Schwulen_frequency_Annotator8.json,23
Die_Mutter_eines_Schwulen_narrative_level_Annotator1.json,0
Die_Mutter_eines_Schwulen_narrative_level_Annotator9.json,0
Die_Mutter_eines_Schwulen_order_Annotator1.json,0
Die_Mutter_eines_Schwulen_order_Annotator2.json,0
Die_Mutter_eines_Schwulen_order_Annotator4.json,0
Die_Mutter_eines_Schwulen_tenses_Annotator1.json,0
Die_Mutter_eines_Schwulen_tenses_Annotator9.json,0
Die_Schutzimpfung_dates_Annotator10.json,0
Die_Schutzimpfung_dates_Annotator9.json,0
Die_Schutzimpfung_duration_Annotator11.json,0
Die_Schutzimpfung_duration_Annotator7.json,0
Die_Schutzimpfung_frequency_Annotator11.json,3
Die_Schutzimpfung_frequency_Annotator8.json,3
Die_Schutzimpfung_narrative_level_Annotator1.json,0
Die_Schutzimpfung_narrative_level_Annotator9.json,0
Die_Schutzimpfung_order_Annotator2.json,0
Die_Schutzimpfung_order_Annotator7.json,0
Die_Schutzimpfung_tenses_Annotator1.json,0
Die_Schutzimpfung_tenses_Annotator9.json,0
Die_Turnstunde_dates_Annotator2.json,0
Die_Turnstunde_dates_Annotator9.json,0
Die_Turnstunde_duration_Annotator5.json,0
Die_Turnstunde_duration_Annotator8.json,0
Die_Turnstunde_frequency_Annotator11.json,2
Die_Turnstunde_frequency_Annotator2.json,2
Die_Turnstunde_narrative_level_Annotator1.json,0
Die_Turnstunde_narrative_level_Annotator9.json,0
Die_Turnstunde_order_Annotator1.json,0
Die_Turnstunde_order_Annotator7.json,0
Die_Turnstunde_tenses_Annotator2.json,0
Die_Turnstunde_tenses_Annotator9.json,0
Ein_Nachmittag_dates_Annotator3.json,0
Ein_Nachmittag_dates_Annotator9.json,0
Ein_Nachmittag_duration_Annotator3.json,0
Ein_Nachmittag_duration_Annotator5.json,0
Ein_Nachmittag_frequency_Annotator11.json,20
Ein_Nachmittag_frequency_Annotator4.json,20
Ein_Nachmittag_narrative_level_Annotator3.json,0
Ein_Nachmittag_narrative_level_Annotator9.json,0
Ein_Nachmittag_order_Annotator3.json,0
Ein_Nachmittag_order_Annotator8.json,0
Ein_Nachmittag_tenses_Annotator3.json,0
Ein_Nachmittag_tenses_Annotator9.json,0
Krambambuli_dates_Annotator2.json,0
Krambambuli_dates_Annotator9.json,0
Krambambuli_duration_Annotator4.json,0
Krambambuli_duration_Annotator5.json,0
Krambambuli_frequency_Annotator2.json,6
Krambambuli_frequency_Annotator5.json,6
Krambambuli_narrative_level_Annotator3.json,0
Krambambuli_narrative_level_Annotator9.json,0
Krambambuli_order_Annotator2.json,0
Krambambuli_order_Annotator8.json,0
Krambambuli_tenses_Annotator2.json,0
Krambambuli_tenses_Annotator9.json,0
Lili_dates_Annotator1.json,0
Lili_duration_Annotator6.json,0
Lili_duration_Annotator7.json,0
Lili_frequency_Annotator11.json,17
Lili_frequency_Annotator2.json,17
Lili_narrative_level_Annotator1.json,0
Lili_narrative_level_Annotator9.json,0
Lili_order_Annotator1.json,0
Lili_order_Annotator2.json,0
Lili_order_Annotator4.json,0
Lili_tenses_Annotator1.json,0
Lili_tenses_Annotator9.json,0
Matteo_dates_Annotator10.json,0
Matteo_dates_Annotator2.json,0
Matteo_duration_Annotator11.json,0
Matteo_duration_Annotator7.json,0
Matteo_frequency_Annotator2.json,17
Matteo_frequency_Annotator5.json,12
Matteo_narrative_level_Annotator1.json,0
Matteo_narrative_level_Annotator9.json,0
Matteo_order_Annotator1.json,0
Matteo_order_Annotator2.json,0
Matteo_tenses_Annotator1.json,0
