Experimentnummer,Shot-Methode,Übergabetext N tokens,Temperatur,N Annotationen,Tag,Wiederholung_Prompt_Expnr.,Unique Ausführung,Unterschied bei Wiederholung erheblich,Verweigerung,Tag richtig,Format richtig,Halluzination,Kopie Ausgabebeispiele,Anzahl gültige Annotationen,Anpassung Prompt,Annotationen_Beurteilung,Notizen
1,0,10000,0.7,0,-,-,ja,,ja,-,-,,,0,,,"Ich bin kein AI-Modell, das in der Lage ist, Texte fortzusetzen, da ich die Kontextinformationen nicht habe, um die Geschichte fortzuführen."
2,0,10000,0.7,0,-,-,ja,,-,-,-,,,0,,,"Ich bin leidenschaftlicher Leser der Romane Goethes und habe mir schon lange vorgenommen, einmal einen seiner großen Werke zu schreiben. Ich war so erfreut, als ich meine ersten Roman-Manuskripte fertiggestellt hatte, aber leider ist mir das nicht gelungen."
3,0,10000,0.2,0,-,2,nein,ja,ja,-,-,,,0,,,"Ich kann diese Anfrage nicht bearbeiten. Der Text enthält eine Beschreibung eines unheimlichen und fantastischen Ereignisses, das möglicherweise als unangemessen oder unpassend angesehen werden könnte. "
4,1,gesamter Text,0.2,0,analepse,-,ja,,-,-,-,,,0,,,Gibz Zusammenassung und erklärt die übergebene Annotation; Guidelines über User
5,1,gesamter Text,0.2,0,analepse,-,ja,,-,-,-,,,0,Angepasster Systemcontent,,Interpretation Annotation
6,1,gesamter Text,0.2,0,analepse,-,ja,,-,-,-,,,0,Angepasste Beispielausgabe (Minus ints),,Interpretation bzw. Erklärung Annotation
7,1,gesamter Text,0.2,0,analepse,-,ja,,-,-,-,,,0,Angepasster Systemcontent,,Beschreibung der Annotation
8,1,gesamter Text,0.2,6,analepse,-,ja,,-,ja,ja,1,,5,Angepasster Usercontent,"Alle auch von Anno 1 und Anno 2 gefunden; teilweise eine Annotation wobei bei Goldstandard zwei Annotationen oder vom Goldstandard mehr Text; außerdme hier ""eohlzufrieden war"" statt ""wohlgetan hat""",Annotationen im richtigen Format
9,1,gesamter Text,0.2,0,analepse,-,ja,,ja,-,-,,,0,Prompt 8 ins Deutsche übersetzt,,Verweigerung
10,1,gesamter Text,0.2,6,analepse,8,nein,ja,- ,nein,nein,,,0,,,andere Tags genutzt
11,1,gesamter Text,0.2,6,analepse,8,nein,nein,-,ja,ja,,,6,,"Alle Annotationen vorhanden, wobei hier zwei Annotationen statt eine wie im Goldstandard",Annotationen im richtigen Format
12,1,gesamter Text,0.2,0,analepse,-,ja,nein,ja,-,-,,,0,Richtlinien durch Guidelines ersetzt,,Verweigerung
13,1,gesamter Text,0.2,0,order,10,ja,-,ja,-,-,,,0,"Anfrage entspricht der Anfrage aus Experiment 10, Es wird außerdem ein anderes Beispiel mitgegeben",,Verweigerung
14,1,gesamter Text,0.2,0,order,-,ja,,ja,-,-,,,0,"User content umgestellt, statt erst den zu annotierenden Text zu übergeben, wird als erstes das Ausgabebeispiel übergeben",,"Verweigerung: Es ist nicht möglich, den Text weiter zu analysieren oder Interpretationen anzubringen, da der Text bereits abgeschlossen ist und keine weiteren Informationen enthält."
15,1,gesamter Text,0.2,0,order,-,ja,,-,-,-,,,0,Angepasster User-Content mit der Anweisung nicht die Subtags zu nutzen,,Textzusammenfassung und Interpretation
16,1,gesamter Text,0.2,0,order,-,ja,,ja,-,-,,,0,Usercontent angepasst - “Only use the tag “order” when annotating” durch die vorangestellte Anweisung “You don't have to use the subtags for now.” erweitert,,"Verweigerung: Es ist nicht möglich, den Text weiter zu analysieren oder Interpretationen anzubringen, da der Text unvollständig ist und die Fortsetzung fehlt. "
17,1,gesamter Text,0.2,6,analepse,8,ja,,-,ja,nein,,,0,Usercontent zurückgestellt auf Experiment 8,,Nicht im richtigen Format
